"Subject area","Title","Class code","Start date","End date","Start time","End time","Cost","Duration (days)","Tutor","Venue","Link to Course specifiation","Course description","Credits attached","Language- Level of Study links"
"Archaeology Classical Studies and Egyptology","The Vikings in Scotland: menace or maker?","4146","14/01/2019","18/03/2019","19/01/1900","21.00","125.00","64","Caroline Paterson","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11464E","The Viking impact on Scotland was dramatic and long lasting. By examining historical, literary and archaeological evidence this course hopes to develop a better understanding of this formative period in Scotland’s past.","10","N/A"
"Archaeology Classical Studies and Egyptology","Ancient Greek for beginners","6184","26/09/2018","13/03/2019","19/01/1900","21.00","240.00","169","Mark McCahill","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11389E","Some of the greatest works of literature, philosophy and science were composed in ancient Greek, a language full of wonders that are alive in our own modern English. This course assumes no pre-existing knowledge and introduces students to the Greek (Attic) language by means of a series of grammar lessons accompanied by readings of simplified texts appropriate to their level of progress.","20","N/A"
"Archaeology Classical Studies and Egyptology","Classical Greek Civilisation 1A","7627","24/09/2018","11/03/2019","19/01/1900","21.00","240.00","169","Alison Greer","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED1217E","Independent of but a partner to Classical Greek civilisation 1B, this course introduces the cultural world of ancient Greece, exploring the history, literature and art of fifth century BC Athens. The first semester concentrates particularly on historical developments, like the birth of democracy in Athens and Athenian attitudes to and aptitudes for warfare. The second semester considers Athenian culture through the lens of drama, considering particularly the works of poets like Euripides and Aristophanes.","20","N/A"
"Archaeology Classical Studies and Egyptology","The Archaeology of Ancient Nubia","9335","27/10/2018","27/10/2018","10/01/1900","16.00","40.00","1","Zsuzsanna Végh","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","The land of Nubia (modern Sudan) may be less well-known than its northern neighbour, ancient Egypt, however, it also has a long and fascinating history. It was the region which connected Egypt and the wider Mediterranean with central Africa, and thus it became a melting pot for diverse cultures.","0","N/A"
"Archaeology Classical Studies and Egyptology","Festivals in Ancient Egypt","1223","02/02/2019","02/02/2019","10/01/1900","16.00","40.00","1","Zsuzsanna   Végh","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","Temple festivals were of central importance for the people of ancient Egypt. On these occasions, the images of the gods were taken out from the sanctuary, and carried around in a festive procession - the only possibility for commoners to experience  their deities both physically and closely. It is therefore no wonder that the Egyptian wanted to participate on the divine processions not only in life, but also in death.   ","0","N/A"
"Art and Art History","Botanical painting and illustration","13926","24/09/2018","26/11/2018","09/01/1900","12.30","180.00","10","Clare Crines","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11217","This course is suitable for beginners and students with some previous experience. It is for people with little or no prior drawing experience who want to learn how to draw flowers, fruit and vegetables with ease. Through tutor demonstrations you will see how to use watercolour properly and by the end of the course you will have a body of completed work. Materials are not included.","0","N/A"
"Art and Art History","Introduction to oil painting","6342","14/01/2019","18/03/2019","18/01/1900","20.00","125.00","64","Clare Crines","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11562","This course is suitable for students with little or no prior drawing experience who want to learn how to paint effective landscapes, still lifes and portraiture. Three weeks on landscape followed by three weeks of still life will give you the skill base in oil painting to tackle the final weeks of portraiture with ease. The course aims to give you a new confidence in your painting skills and give you a real sense of accomplishment. Demonstrations will be given on each genre along with some colour mixing strategies. Materials are not provided.","0","N/A"
"Art and Art History","Watercolour: an introduction to techniques","5729","15/08/2018","15/08/2018","10/01/1900","16.00","40.00","1","Clare Crines","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","This one day course will guide you through the basics in watercolour, from graduated washes for skylines, to exploring colour bleeding and backruns. The course will get you on the right track to express yourself in this luminous medium, and with less trial and error. With tutor demonstrations of each technique before you give them a go, and the tutor on hand for guidance, you’ll soon gain much more control of the medium.","0","N/A"
"Art and Art History","Watercolour: an introduction to techniques","5728","14/08/2019","14/08/2019","10/01/1900","16.00","40.00","1","Clare Crines","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","This one day course will guide you through the basics in watercolour, from graduated washes for skylines, to exploring colour bleeding and backruns. The course will get you on the right track to express yourself in this luminous medium, and with less trial and error. With tutor demonstrations of each technique before you give them a go, and the tutor on hand for guidance, you’ll soon gain much more control of the medium.","0","N/A"
"Art and Art History","Modern and contemporary Scottish art","14364","25/09/2018","27/11/2018","13/01/1900","15.00","125.00","64","Blair Cunningham","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11466E","Art has changed enormously since the late 1890s and Scotland has increasingly played an important part in the development of modern and contemporary art. This course starting in the late Victorian era and finishing in the present day is intended to be a guide to the wide range of movements and artists found during this period and includes artists such as J. D. Fergusson, Joan Eardley, Eduardo Paolozzi and Steven Campbell.","10","N/A"
"Art and Art History","Hunterian Art Gallery collections","11906","15/01/2019","19/03/2019","10/01/1900","12.00","125.00","64","Blair Cunningham","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11238","This course will provide an introduction to the collection of art found within the University of Glasgow's Hunterian Art Gallery. The course will be split between lectures and gallery visits. Each lecture will provide and introduction to an aspect of the collection covering the artist’s biography and key works with the visits to the gallery looking at works by them in the collection.","0","N/A"
"Art and Art History","Hepworth to Hockney: British art 1930s-1960s","10826","16/04/2019","14/05/2019","10/01/1900","12.00","62.50","29","Blair Cunningham","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11236","Between the 1930s and the 1960s Britain became one of the most important countries for modern art. From the St Ives artists such as Barbara Hepworth, through to the Independent Group with Eduardo Paolozzi and to David Hockney, the diversity of artists and movements was enormous. This short course will examine the key movements and artists of this most innovative period of British art.","0","N/A"
"Art and Art History","Modern and contemporary art","1991","25/09/2018","12/03/2019","13/01/1900","15.00","240.00","169","Blair Cunningham","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED1098E","Modern and contemporary art can be both exhilarating and daunting. This course is all about demystifying the art of this period. It provides a focussed analysis of some of the major movements, artists and ideas on art from the 20th century to the present day and also introduces students to the important debates and controversies which surround such a wide variety of art.","20","N/A"
"Art and Art History","Making modern art: an introduction to techniques and ideas","1753","27/09/2018","14/03/2019","10/01/1900","12.00","240.00","169","Blair Cunningham","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11388E","This practical art course with a small art history component provides an introduction to making and thinking about art focusing on techniques, painting, printing, collage etc of modern masters. Through a series of practical workshops this course will introduce many of the movements, ideas and techniques associated with Modern Art. We will start with the techniques of expressive colour associated with Fauvism at the beginning of the century and finish with Pop Art in the 1960s with collage, stencilling and the use of media images and text. Other movements that will be covered include Expressionism, Cubism, Purism, Futurism, Dada & Surrealism, Abstract Expressionism and Op Art. In addition, we will look at how to understand and explore modern art. Basic drawing and painting skills are required for this course.","20","N/A"
"Art and Art History","Hidden Art in Glasgow","12576","17/08/2019","17/08/2019","10/01/1900","16.00","40.00","1","Blair Cunningham","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","Glasgow has a long tradition of commissioning art for public spaces. Most of us will immediately think of the many statues and monuments that inhabit our streets and squares, but there are many hidden contemporary works. The class will concentrate on Glasgow city centre and will include discussions on the role of public art. The first half of the class will consist of a short lecture followed by a walking tour of Glasgow city centre looking at some of the most interesting works","0","N/A"
"Art and Art History","A guided tour of the Scottish National Galleries of Modern Art","4596","06/04/2019","06/04/2019","11/01/1900","16.00","40.00","1","Blair Cunningham","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","Join us on a guided tour of the Scottish National Galleries of Modern Art to explore a fascinating range of art works from the 20th and 21st centuries. The visit will be split into three discussion sessions in the painting galleries. Please meet at the entrance of Modern Two (previously the Dean Gallery).","0","N/A"
"Art and Art History","Portraits of a New Nation","10923","08/11/2018","08/11/2018","10/01/1900","16.00","£40.00","1","Ruth Ezra","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","This day event introduces key faces in American art, c.1750-1900. We will explore how portraiture shaped American identity from the periods of Colonialism and Revolution to those of Civil War and Reconstruction. What use was this quintessentially English, aristocratic genre to a new Republic? To answer this question, we will study works by the great painters Gilbert Stuart, John Singleton Copley, Thomas Eakins, and John Singer Sargent. We will also go beyond painting to consider the place of portraiture in printed currency, architecture, early photography, and so-called ‘folk’ art. ","0","N/A"
"Art and Art History","Painting the American Landscape","6909","01/11/2018","01/11/2018","10/01/1900","16.00","£40.00","1","Ruth Ezra","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","From Thomas Cole’s Catskill Mountains to Winslow Homer’s oceans, ""white with foam,"" the grandeur of the American landscape was a favourite subject for nineteenth-century artists. How did these painters exploit colour, light, and perspective to evoke mood and atmosphere? What is the relationship they capture between man and nature, civilisation and wild? In the course of a day, we'll travel down the Atlantic coast, across the Midwestern prairie, and over the Rocky Mountains. Join us on a search for the sublime in nature and in art.","0","N/A"
"Art and Art History","Art and Anatomy","10875","24/11/2018","24/11/2018","10/01/1900","16.00","£40.00","1","Ruth Ezra","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","This day event explores the relationship between art and anatomy. Looking at examples from the Renaissance to the present day, we will consider how draughtsmen, painters, printmakers, and sculptors have all contributed to—and in turn exploited—developments in medical knowledge. Key figures to be discussed include Leonardo, Andreas Vesalius, Frederick Ruysch, Clemente Susini, Jacques Gautier d’Agoty, and Santiago Ramon Y Cajal. The day will conclude with a visit to the Hunterian Museum, home to William Hunter’s anatomical teaching collection. ","0","N/A"
"Art and Art History","The art collectors and patrons of Glasgow","2031","17/04/2019","15/05/2019","10/01/1900","12.00","62.50","29","George  Fairfull-Smith","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11248","Glasgow’s cultural history includes many men and women who supported the fine arts in Glasgow in the 18th and 19th centuries. This short course looks at key figures who bought Old Master paintings and commissioned modern art, including Robert Foulis, Archibald McLellan, Alexander ‘Picture’ Gordon, James Smith of Jordanhill, Mrs Cecilia Douglas of Orbiston, John Bell of North Park, and Alexander Bannantyne Stewart, whose mansion in Langside included a specially designed picture gallery.","0","N/A"
"Art and Art History","Henry Dyer Japanese Art Collection","2923","06/10/2018","06/10/2018","10/01/1900","14.30","25.00","1","Chie  Ishii-McGinness","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","Giotto di Bondone (1267-1337) is one of the most influential artists of the western culture. His paintings, such as the frescoes in the Arena Chapel (Padua), are among UNESCO’s most treasured cultural investments. Giotto offered new ways of looking at pictorial representations. This course studies his body of work, its characteristics, its patronage, its legacy in the fourteenth century and among the artists of the Renaissance, who looked at his art for inspiration.","0","N/A"
"Art and Art History","Fancy Florence?","8516","19/04/2019","17/05/2019","13/01/1900","15.00","62.50","29","Christine Linnell","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11468","This short course explores the magnificent city of Florence with its historic centre, a UNESCO World Heritage site. Its paintings, sculpture and architecture will be examined in detail set within the context of the city as the product of patronage, cradle of the Renaissance, birthplace of the Italian language, host to Humanism and home to Dante, Machiavelli, Savonarola, Vasari and the notorious Medici family.","0","N/A"
"Art and Art History","The glory of the Gothic","11312","25/09/2018","27/11/2018","10/01/1900","12.30","125.00","64","Ian Macdonald","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11565","Referring to the cathedrals Victor Hugo said: 'The men of the Middle Ages had no great thoughts they did not write down in stone'. The Middle Ages is a period rich in intellectual and artistic achievement from the soaring architecture, the majestic sculpture populating the cathedral porches, the sparkling coloured glass with their narratives which helped to instruct the people. Everything is replete with symbolism and significant meaning. In this course the wealth of this diversity will be examined Europe-wide against the social background of the times.","0","N/A"
"Art and Art History","The glory of the Gothic","11311","04/10/2018","06/12/2018","10/01/1900","12.00","125.00","64","Ian Macdonald","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11565","Referring to the cathedrals Victor Hugo said: 'The men of the Middle Ages had no great thoughts they did not write down in stone'. The Middle Ages is a period rich in intellectual and artistic achievement from the soaring architecture, the majestic sculpture populating the cathedral porches, the sparkling coloured glass with their narratives which helped to instruct the people. Everything is replete with symbolism and significant meaning. In this course the wealth of this diversity will be examined Europe-wide against the social background of the times.","0","N/A"
"Art and Art History","An art revolution in Europe","3786","15/01/2019","19/03/2019","10/01/1900","12.30","125.00","64","Ian Macdonald","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11564","From the mid-nineteenth to the mid-twentieth century Europe witnessed an avalanche of new artistic movements and theories. These flowed fast on the heels of one another: Realism, Impressionism, Post-Impressionism, Pointillism, Symbolism, Fauvism, Cubism, Expressionism, Futurism, Suprematism, etc. This course is designed to clarify the confusion caused by this flow of 'Isms' for those who are unfamiliar with the period.","0","N/A"
"Art and Art History","An art revolution in Europe","3785","17/01/2019","21/03/2019","10/01/1900","12.00","125.00","64","Ian Macdonald","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11564","From the mid-nineteenth to the mid-twentieth century Europe witnessed an avalanche of new artistic movements and theories. These flowed fast on the heels of one another: Realism, Impressionism, Post-Impressionism, Pointillism, Symbolism, Fauvism, Cubism, Expressionism, Futurism, Suprematism, etc. This course is designed to clarify the confusion caused by this flow of 'Isms' for those who are unfamiliar with the period.","0","N/A"
"Art and Art History","Art making and art psychotherapy","1474","18/04/2019","20/06/2019","18/01/1900","20.00","135.00","64","Fiona Macintosh","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11385E","This course is for students to consolidate what they have learned and experienced from the credit course Introduction to Art Psychotherapy ADED1054E. The course will develop their understanding of the relationship between art making and wellbeing with ‘hands on’ experience of making and discussing art in a group setting.","10","N/A"
"Art and Art History","Creative drawing and painting: developing skills and techniques","2588","26/09/2018","28/11/2018","14/01/1900","16.00","125.00","64","Ian Mackenzie","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11386E","This course provides a practical approach to drawing and painting suitable for both beginners and students with some previous experience. It is designed to introduce you to drawing and painting skills and to teach you techniques using a variety of media such as acrylics, oils, gouache and watercolour. You will learn how to plan your paintings through preparatory studies, developments, experiments and research to produce finished works of art. Materials are not provided.","10","N/A"
"Art and Art History","Creative drawing and painting: developing skills and techniques","2587","16/01/2019","20/03/2019","14/01/1900","16.00","125.00","64","Ian Mackenzie","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11386E","This course provides a practical approach to drawing and painting suitable for both beginners and students with some previous experience. It is designed to introduce you to drawing and painting skills and to teach you techniques using a variety of media such as acrylics, oils, gouache and watercolour. You will learn how to plan your paintings through preparatory studies, developments, experiments and research to produce finished works of art. Materials are not provided.","10","N/A"
